,prec[mm],q_prec,ta[C],td[C],ws[km/h],wd[deg],max_ws[km/h],mslp[hPa]
2015-12-15 00:00:00,0.0,Y,31.0,12.8,27.7,18.0,31.3,1013.4
2015-12-15 00:01:00,0.0,Y,30.9,12.8,29.5,14.0,33.5,1013.3
2015-12-15 00:02:00,0.0,Y,31.1,12.9,25.9,12.0,29.5,1013.3
2015-12-15 00:03:00,0.0,Y,31.3,13.1,20.5,8.0,25.9,1013.3
2015-12-15 00:04:00,0.0,Y,31.2,12.5,16.6,12.0,18.4,1013.3
2015-12-15 00:05:00,0.0,Y,31.5,12.8,20.5,8.0,27.7,1013.3
2015-12-15 00:06:00,0.0,Y,32.3,13.0,22.3,356.0,29.5,1013.3
2015-12-15 00:07:00,0.0,Y,31.1,12.5,24.1,8.0,31.3,1013.3
2015-12-15 00:08:00,0.0,Y,31.2,12.5,27.7,7.0,29.5,1013.3
2015-12-15 00:09:00,0.0,Y,30.5,11.9,20.5,1.0,22.3,1013.3
2015-12-15 00:10:00,0.0,Y,30.7,12.1,20.5,4.0,24.1,1013.3
2015-12-15 00:11:00,0.0,Y,31.0,12.4,16.6,18.0,20.5,1013.3
2015-12-15 00:12:00,0.0,Y,31.6,12.9,18.4,2.0,25.9,1013.2
2015-12-15 00:13:00,0.0,Y,31.2,12.1,18.4,357.0,24.1,1013.2
2015-12-15 00:14:00,0.0,Y,31.1,12.5,20.5,341.0,25.9,1013.2
2015-12-15 00:15:00,0.0,Y,31.3,12.6,18.4,351.0,29.5,1013.2
2015-12-15 00:16:00,0.0,Y,31.3,12.6,13.0,340.0,14.8,1013.2
2015-12-15 00:17:00,0.0,Y,31.1,12.5,14.8,352.0,24.1,1013.2
2015-12-15 00:18:00,0.0,Y,31.5,12.3,16.6,6.0,20.5,1013.2
2015-12-15 00:19:00,0.0,Y,31.0,12.4,24.1,22.0,31.3,1013.2
2015-12-15 00:20:00,0.0,Y,31.7,13.0,25.9,20.0,33.5,1013.2
2015-12-15 00:21:00,0.0,Y,32.1,13.3,22.3,24.0,27.7,1013.2
