,prec[mm],q_prec,ta[C],td[C],ws[km/h],wd[deg],max_ws[km/h],mslp[hPa]
2017-02-16 00:00:00,0.0,Y,29.0,14.0,13.0,1.0,16.6,1013.2
2017-02-16 00:01:00,0.0,Y,28.7,13.4,9.4,7.0,11.2,1013.2
2017-02-16 00:02:00,0.0,Y,29.0,13.6,9.4,356.0,13.0,1013.1
2017-02-16 00:03:00,0.0,Y,29.0,13.6,13.0,351.0,16.6,1013.1
2017-02-16 00:04:00,0.0,Y,28.7,13.4,14.8,28.0,16.6,1013.1
2017-02-16 00:05:00,0.0,Y,29.2,13.8,11.2,32.0,13.0,1013.1
2017-02-16 00:06:00,0.0,Y,29.1,13.7,13.0,358.0,18.4,1013.1
2017-02-16 00:07:00,0.0,Y,29.1,13.7,9.4,323.0,13.0,1013.1
2017-02-16 00:08:00,0.0,Y,29.0,13.2,11.2,15.0,13.0,1013.1
2017-02-16 00:09:00,0.0,Y,29.3,13.9,13.0,37.0,16.6,1012.9
2017-02-16 00:10:00,0.0,Y,29.0,13.2,20.5,6.0,24.1,1012.9
2017-02-16 00:11:00,0.0,Y,29.1,13.3,16.6,345.0,20.5,1012.9
2017-02-16 00:12:00,0.0,Y,29.7,13.9,16.6,355.0,20.5,1012.9
2017-02-16 00:13:00,0.0,Y,29.6,13.4,18.4,0.0,20.5,1012.9
2017-02-16 00:14:00,0.0,Y,29.2,13.0,11.2,353.0,13.0,1012.9
2017-02-16 00:15:00,0.0,Y,29.8,14.0,16.6,349.0,20.5,1012.9
2017-02-16 00:16:00,0.0,Y,30.3,14.0,16.6,354.0,20.5,1012.9
2017-02-16 00:17:00,0.0,Y,30.2,13.9,16.6,357.0,20.5,1012.9
2017-02-16 00:18:00,0.0,Y,29.9,13.2,14.8,356.0,16.6,1012.9
2017-02-16 00:19:00,0.0,Y,30.0,13.7,16.6,8.0,18.4,1012.9
2017-02-16 00:20:00,0.0,Y,29.6,12.9,13.0,12.0,16.6,1012.8
2017-02-16 00:21:00,0.0,Y,29.4,13.2,18.4,6.0,24.1,1012.8
2017-02-16 00:22:00,0.0,Y,29.9,13.6,18.4,355.0,22.3,1012.8
2017-02-16 00:23:00,0.0,Y,29.4,12.8,14.8,352.0,16.6,1012.8
2017-02-16 00:24:00,0.0,Y,29.5,13.3,13.0,338.0,16.6,1012.8
2017-02-16 00:25:00,0.0,Y,29.4,13.2,9.4,315.0,13.0,1012.8
2017-02-16 00:26:00,0.0,Y,29.4,13.2,7.6,302.0,9.4,1012.8
2017-02-16 00:27:00,0.0,Y,29.4,13.2,7.6,318.0,7.6,1012.8
2017-02-16 00:28:00,0.0,Y,29.2,13.0,7.6,2.0,9.4,1012.8
