,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.86523,28.405518,12.60708,227.89325,-2.0528872,-2.6461735,3.3491163,37.80412
1,983.303,27.810211,12.442459,259.9425,-2.1328192,-3.1769643,3.8264892,33.874992
2,979.63336,27.389374,12.35,293.02478,-2.1090128,-3.417957,4.0162625,31.676205
3,975.81116,27.002777,12.271891,327.19073,-2.061543,-3.5735033,4.1255164,29.980515
4,972.03687,26.63919,12.200478,362.48416,-2.0074058,-3.6904662,4.2010975,28.543701
5,967.9446,26.253693,12.126648,398.94876,-1.9493134,-3.7849944,4.2574644,27.248962
6,963.84674,25.870941,12.053892,436.62753,-1.888851,-3.865561,4.302362,26.041784
7,959.5125,25.468811,11.977852,475.5665,-1.8232955,-3.934248,4.33621,24.864985
8,955.158,25.06546,11.901465,515.8142,-1.7566011,-3.997506,4.366429,23.721851
9,950.63617,24.647064,11.822058,557.4183,-1.6869805,-4.053791,4.3908,22.59458
10,945.975,24.216156,11.740123,600.4304,-1.6150037,-4.103038,4.4094396,21.48518
11,941.14166,23.7695,11.655024,644.9065,-1.5423298,-4.147623,4.4251056,20.39809
12,936.22516,23.31485,11.568018,690.9024,-1.4671651,-4.1841044,4.4338813,19.323326
13,931.12616,22.84262,11.477374,738.4769,-1.3901923,-4.2171507,4.4403825,18.24491
14,925.8995,22.357666,11.38382,787.6918,-1.3109226,-4.244171,4.442016,17.164663
15,920.4355,21.84964,11.285426,838.6132,-1.2286721,-4.2652903,4.438731,16.06973
16,914.88385,21.332123,11.184469,891.31006,-1.1427841,-4.283016,4.4328527,14.93949
17,909.1367,20.794678,11.079015,945.8526,-1.053662,-4.2943325,4.421707,13.785814
18,903.2136,20.239105,10.969149,1002.317,-0.95912737,-4.299235,4.404923,12.57632
19,897.1103,19.664734,10.854507,1060.783,-0.8597917,-4.298007,4.3831615,11.312371
20,890.7978,19.068542,10.734211,1121.3334,-0.7550757,-4.289212,4.355167,9.984088
21,884.3381,18.45633,10.608709,1184.0566,-0.6425665,-4.2726784,4.320726,8.552597
22,877.65436,17.820435,10.475803,1249.0463,-0.52216005,-4.244562,4.2765594,7.0132093
23,870.7713,17.163452,10.334297,1316.3995,-0.39296973,-4.2052307,4.2235518,5.338663
24,863.67236,16.484436,10.180725,1386.2195,-0.2537626,-4.1489325,4.156686,3.5000415
25,856.37427,15.786896,10.008554,1458.6168,-0.10529926,-4.069715,4.071077,1.4821326
26,848.80237,15.068695,9.805805,1533.7075,0.04945063,-3.9563856,3.9566946,359.2839
27,841.04584,14.3506775,9.550797,1611.617,0.20496388,-3.7880428,3.7935839,356.90286
28,833.0351,13.66507,9.176896,1692.4817,0.35603693,-3.5089366,3.5269532,354.20627
29,824.7607,13.1493225,8.404247,1776.4597,0.5430141,-2.878195,2.928971,349.3159
30,816.2522,12.840973,6.1343,1863.6976,0.5978577,-1.470369,1.5872678,337.87314
31,807.5145,13.002899,3.390752,1954.4111,-0.7928579,0.70972145,1.0641091,131.8331
32,798.4738,12.860321,1.9622332,2048.858,-1.4825252,2.581507,2.976921,150.13182
33,789.16724,12.172089,1.3931981,2147.1807,-1.6723746,3.8619337,4.2084875,156.58542
34,779.55853,11.285797,1.1374885,2249.5037,-1.822202,4.7497478,5.0872903,159.0111
35,769.6696,10.424774,0.8729858,2356.031,-2.0822067,5.568123,5.94471,159.49666
36,759.4611,9.630676,0.37522885,2467.0146,-2.3525486,6.122991,6.559383,158.98245
37,748.92474,8.807312,-0.42823416,2582.7087,-2.706662,6.0629597,6.6396914,155.94278
38,738.0734,8.025391,-1.251207,2703.3904,-3.4149015,5.462495,6.4420805,147.98827
39,726.8625,7.195862,-1.9468249,2829.3738,-4.243945,4.9873834,6.548669,139.60434
40,715.32117,6.249939,-2.6006567,2960.9666,-4.451342,5.274505,6.9018006,139.8378
41,703.3878,5.037964,-3.026961,3098.4524,-4.2269573,5.9021015,7.259612,144.39058
42,691.076,3.7573242,-3.398177,3242.1528,-3.9834626,6.633671,7.737801,149.01555
43,678.38104,2.493927,-3.8300881,3392.4792,-3.866012,7.4980736,8.436063,152.72433
44,665.2673,1.2664795,-4.3543997,3549.9126,-3.6893082,8.642418,9.3969345,156.88315
45,651.7376,-0.061462402,-4.948,3714.9463,-3.572054,9.5926075,10.236097,159.5759
46,637.763,-1.4001465,-5.9223895,3888.1035,-3.9284146,9.930052,10.678875,158.41582
47,623.34485,-2.6214905,-7.531477,4070.0154,-4.2161613,9.511259,10.403849,156.0932
48,608.4484,-3.8060608,-9.063046,4261.4297,-3.762303,8.188149,9.011144,155.3221
49,593.07074,-5.1540833,-9.919806,4463.1387,-2.6079676,6.461837,6.968273,158.02122
50,577.17456,-6.73703,-10.340767,4675.9395,-1.1671818,4.7509847,4.892256,166.1974
51,560.75256,-8.450104,-10.163316,4900.7397,0.8203301,4.133375,4.2139926,191.22534
52,543.7754,-9.545349,-10.879021,5138.8965,3.737567,4.408859,5.7799172,220.28929
53,526.2263,-10.325012,-13.959336,5392.045,5.5491333,5.209709,7.6114354,226.80699
54,508.09918,-11.310272,-24.60922,5661.5166,6.545711,6.123375,8.963373,226.9093
55,489.3675,-13.1727295,-29.363853,5948.5776,7.478455,6.8055735,10.111534,227.69705
56,469.99106,-15.403107,-28.943441,6254.8984,8.318977,6.222139,10.388474,233.20552
57,449.93713,-17.838135,-29.56576,6582.547,8.832844,5.214348,10.257122,239.4451
58,429.184,-20.36853,-34.26306,6933.974,9.490095,5.8591704,11.153107,238.30888
59,407.7019,-23.07396,-43.651176,7312.1396,10.200965,8.523942,13.293505,230.11781
60,385.45886,-26.275146,-49.48546,7720.4414,11.224473,10.035214,15.056372,228.20177
61,362.4298,-29.862396,-51.56432,8162.7896,13.283825,10.597917,16.993406,231.41692
62,338.65454,-33.608612,-51.08306,8642.701,17.249718,9.375564,19.63298,241.47504
63,314.26978,-37.410217,-48.293465,9163.164,23.229553,5.540025,23.881039,256.5861
64,289.6016,-40.80394,-49.10623,9723.8955,29.86937,0.7141272,29.877905,268.6304
65,265.90903,-44.355682,-48.252438,10299.987,34.793224,-2.4421377,34.878826,274.015
66,244.11246,-49.114014,-52.224995,10866.842,36.996887,-2.7856061,37.10161,274.30585
67,224.07964,-53.590668,-56.5595,11422.798,41.385582,0.22156695,41.386173,269.69327
68,205.68797,-58.088364,-58.94339,11967.61,46.645996,2.3666806,46.705997,267.09546
69,188.80711,-61.578293,-63.7263,12502.376,42.195087,4.713844,42.457577,263.6256
70,173.31134,-61.85846,-70.83275,13032.374,31.29095,6.2629113,31.91156,258.68176
71,159.0855,-61.12613,-75.57807,13562.91,24.718029,4.1405087,25.062418,260.4907
72,146.02817,-62.902847,-78.58207,14092.122,27.053596,1.767559,27.111277,266.26187
73,134.04288,-64.29268,-80.44786,14617.348,24.5962,7.4927716,25.71215,253.05763
74,123.04055,-62.9933,-80.44786,15142.443,19.285498,11.736866,22.576193,238.67593
75,112.94087,-61.46544,-80.44786,15671.068,13.104301,11.524867,17.451225,228.66928
76,103.6693,-61.753983,-80.44786,16201.238,8.642588,7.706347,11.579383,228.27753
77,95.15854,-63.88652,-80.44786,16728.371,6.874329,4.8667755,8.422702,234.7029
78,87.34651,-65.81772,-80.44786,17250.406,6.6481476,5.855129,8.858916,228.62912
79,80.17587,-65.585144,-80.44786,17770.305,5.4753594,7.9883366,9.684683,214.42749
80,73.59261,-65.00258,-80.44786,18291.225,3.5850384,7.0495143,7.908739,206.95566
81,67.5473,-65.619,-80.44786,18812.115,2.6299353,6.689877,7.1882553,201.46086
82,62.000694,-63.71202,-80.44786,19334.639,0.02837585,8.158259,8.158309,180.19928
83,56.909805,-61.813705,-80.44786,19861.936,-3.8042376,6.5117,7.541516,149.70586
84,52.23601,-61.449005,-80.44786,20392.078,-3.9454067,7.1184144,8.138677,151.00243
