,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.951,28.342041,12.481869,227.28253,-1.338222,-2.880736,3.2438722,24.77307
1,983.3923,27.734932,12.3222,259.32202,-1.4625411,-3.3329816,3.7046888,23.673403
2,979.72205,27.317133,12.224079,292.3936,-1.4855978,-3.5090244,3.87067,22.974102
3,975.93787,26.93875,12.139702,326.54895,-1.483858,-3.6118612,3.9600973,22.385576
4,972.0457,26.56919,12.059809,361.83215,-1.4714569,-3.682812,4.0165257,21.84218
5,968.03217,26.19428,11.981036,398.28674,-1.4530838,-3.7359357,4.054671,21.321348
6,963.89594,25.81122,11.901834,435.95532,-1.4299974,-3.7775707,4.080928,20.802696
7,959.63116,25.418053,11.821211,474.88342,-1.4031852,-3.8113406,4.098871,20.276466
8,955.25037,25.01492,11.738749,515.1196,-1.3726147,-3.8392804,4.1105123,19.731745
9,950.71814,24.598154,11.653525,556.7127,-1.3384656,-3.8620465,4.1166205,19.165709
10,946.05975,24.16994,11.566048,599.71405,-1.3017038,-3.8802097,4.1181445,18.587036
11,941.26245,23.728844,11.475883,644.17834,-1.2627298,-3.8940277,4.1155314,17.999052
12,936.31616,23.273605,11.382585,690.1624,-1.2211177,-3.9042525,4.1093793,17.391462
13,931.215,22.80338,11.285766,737.72485,-1.1770531,-3.9110737,4.099961,16.765614
14,925.9648,22.318438,11.185206,786.92755,-1.1302265,-3.9147012,4.0875063,16.11526
15,920.5528,21.817408,11.080354,837.8364,-1.0804213,-3.9150438,4.0718985,15.436504
16,914.97327,21.299612,10.970715,890.5199,-1.0271327,-3.9122066,4.0532928,14.721768
17,909.2279,20.764978,10.855822,945.0488,-0.97006255,-3.9056911,4.0312595,13.967576
18,903.2997,20.211899,10.734801,1001.4994,-0.9086121,-3.895336,4.0057,13.164903
19,897.2026,19.641607,10.607117,1059.951,-0.84205675,-3.880308,3.9759002,12.304553
20,890.9111,19.051796,10.471331,1120.4868,-0.7695116,-3.8599186,3.9413471,11.373853
21,884.426,18.44273,10.326058,1183.1956,-0.68980706,-3.832605,3.9006708,10.356964
22,877.7459,17.814749,10.1693,1248.1699,-0.60121787,-3.7964914,3.852279,9.227082
23,870.86346,17.168026,9.997926,1315.5079,-0.5014299,-3.7486155,3.7936137,22.345999
24,863.7662,16.50307,9.806885,1385.3132,-0.38668904,-3.6839154,3.72021,64.0459
25,856.44635,15.822497,9.587756,1457.6969,-0.25139403,-3.5944662,3.625288,91.01011
26,848.9062,15.133928,9.324446,1532.7759,-0.085979536,-3.465457,3.4965212,146.20512
27,841.1345,14.454072,8.979683,1610.6769,0.12449194,-3.2669928,3.3111334,214.72536
28,833.1205,13.829275,8.441782,1691.5386,0.39514247,-2.9230132,3.0171447,237.78168
29,824.8635,13.279163,7.4568586,1775.5044,0.48182896,-2.3012464,2.4258475,261.63385
30,816.35345,13.036631,5.583864,1862.7462,-0.013835531,-1.0649259,1.1416984,147.77324
31,807.59106,13.095546,3.3032012,1953.4939,-0.97419274,0.8141054,1.2916884,127.84116
32,798.5588,12.88646,1.9339082,2047.9669,-1.5270667,2.574112,2.9946945,149.30182
33,789.25354,12.180284,1.3904512,2146.305,-1.7053542,3.7668345,4.135941,155.64262
34,779.649,11.293995,1.1442091,2248.642,-1.8508103,4.635538,4.9918575,158.23344
35,769.7505,10.44154,0.8742384,2355.1855,-2.0972407,5.459272,5.8484426,158.98775
36,759.53955,9.656344,0.35788572,2466.1897,-2.3653338,6.038809,6.4857073,158.61064
37,749.00977,8.834378,-0.44263318,2581.9065,-2.7068732,6.0096507,6.592233,155.73878
38,738.14685,8.02273,-1.2390659,2702.608,-3.3642926,5.4327865,6.392944,148.21404
39,726.94104,7.1839013,-1.9358792,2828.604,-4.1498218,4.9539294,6.4647655,140.05147
40,715.3851,6.2354417,-2.5867736,2960.2075,-4.381956,5.2053595,6.8042626,139.91112
41,703.4576,5.03479,-3.0174525,3097.7078,-4.194545,5.8072495,7.1644955,144.1552
42,691.15,3.758246,-3.386234,3241.4253,-3.9852102,6.532115,7.6535187,148.60439
43,678.4458,2.5134692,-3.834424,3391.7769,-3.845451,7.465934,8.399014,152.74812
44,665.3337,1.2747132,-4.3489227,3549.2375,-3.609327,8.610476,9.336466,157.2584
45,651.7991,-0.074353024,-4.912495,3714.2925,-3.51222,9.519657,10.147021,159.75133
46,637.825,-1.4136304,-5.863652,3887.4668,-3.8532915,9.908709,10.631823,158.75153
47,623.39685,-2.6419752,-7.4711,4069.396,-4.1473103,9.556616,10.418046,156.53957
48,608.4991,-3.828219,-9.069177,4260.823,-3.7549784,8.272309,9.084783,155.58336
49,593.1118,-5.16219,-9.950474,4462.5474,-2.6442108,6.5333934,7.048222,157.96661
50,577.2146,-6.734288,-10.363825,4675.375,-1.2117518,4.8205953,4.971007,165.91315
51,560.787,-8.446249,-10.244128,4900.205,0.74138224,4.1479945,4.216265,190.15211
52,543.80695,-9.535791,-10.956647,5138.3945,3.6567469,4.423963,5.740271,219.57239
53,526.2564,-10.322229,-14.008585,5391.5776,5.5813136,5.177778,7.6134143,227.14711
54,508.12622,-11.335143,-24.560875,5661.0723,6.540562,6.108641,8.949571,226.95583
55,489.3902,-13.18157,-29.29924,5948.155,7.465504,6.804895,10.101651,227.65016
56,470.00952,-15.392762,-28.864326,6254.52,8.353726,6.1791577,10.391123,233.50941
57,449.95374,-17.834627,-29.557032,6582.219,8.85332,5.1894417,10.262439,239.62238
58,429.19647,-20.374016,-34.297585,6933.687,9.519991,5.8603196,11.17988,238.38455
59,407.71234,-23.082983,-43.78187,7311.8823,10.170124,8.520337,13.267892,230.04422
60,385.46735,-26.28833,-49.57709,7720.206,11.137326,10.059652,15.008507,227.90848
61,362.43323,-29.877113,-51.768642,8162.57,13.133225,10.655188,16.913391,230.94194
62,338.65735,-33.62794,-51.392033,8642.487,17.0187,9.491965,19.488985,240.84103
63,314.2711,-37.416832,-48.70584,9162.954,23.084806,5.6545606,23.768112,256.23303
64,289.60294,-40.84215,-50.054886,9723.648,29.720434,0.81676835,29.732048,268.42352
65,265.90872,-44.383827,-48.37027,10299.67,35.020092,-2.4184554,35.103676,273.95166
66,244.1119,-49.10999,-52.29836,10866.5,37.086517,-2.7230883,37.18646,274.19977
67,224.0789,-53.591583,-56.571186,11422.463,41.578724,0.20948422,41.579258,269.71118
68,205.68793,-58.075863,-58.906506,11967.291,46.754032,2.2950814,46.81042,267.18936
69,188.80734,-61.555862,-63.734207,12502.1,42.15039,4.6272173,42.403725,263.73547
70,173.31133,-61.87115,-70.83791,13032.111,31.275732,6.2436066,31.892864,258.71036
71,159.08585,-61.1254,-75.56945,13562.633,24.688515,4.2736964,25.056387,260.1789
72,146.02838,-62.79449,-78.587006,14091.98,26.946342,1.7187529,27.00123,266.3504
73,134.04242,-64.30924,-80.44786,14617.321,24.572231,7.32702,25.642288,253.398
74,123.04018,-63.056183,-80.44786,15142.317,19.344744,11.750219,22.633766,238.72488
75,112.94057,-61.489674,-80.44786,15670.838,13.144588,11.685614,17.588364,228.3671
76,103.66943,-61.699142,-80.44786,16201.045,8.603299,7.802044,11.61486,227.79839
77,95.15873,-63.85957,-80.44786,16728.28,6.816861,4.8007655,8.337738,234.84631
78,87.34654,-65.82641,-80.44786,17250.338,6.6088343,5.865588,8.836534,228.4082
79,80.17601,-65.59548,-80.44786,17770.21,5.496233,8.035705,9.7355795,214.37177
80,73.59264,-64.99765,-80.44786,18291.123,3.576461,7.1316895,7.9785366,206.63943
81,67.54814,-65.55226,-80.44786,18812.102,2.5923388,6.5892735,7.0808787,201.47696
82,62.001053,-63.735226,-80.44786,19334.676,0.07218461,8.145341,8.145917,180.50842
83,56.91005,-61.758686,-80.44786,19862.008,-3.8150864,6.584862,7.6103344,149.90985
84,52.236073,-61.442696,-80.44786,20392.227,-3.9449594,7.06714,8.09372,150.82735
