,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.9269,28.304907,11.942724,227.77203,-0.6984282,-2.5301688,2.6664636,15.963044
1,983.3618,27.746078,11.760071,259.7939,-0.73655593,-2.913695,3.042442,14.807967
2,979.6836,27.324226,11.660728,292.84964,-0.72029096,-3.0870843,3.2070234,13.653332
3,975.8979,26.928072,11.578574,326.98758,-0.6825362,-3.2063477,3.3170264,12.387479
4,972.0135,26.537043,11.502136,362.25055,-0.62734437,-3.298514,3.3999453,39.77115
5,967.9899,26.141157,11.427174,398.68173,-0.55671126,-3.3712802,3.4643457,52.61886
6,963.8643,25.741661,11.352362,436.3238,-0.47408432,-3.4279737,3.5147047,108.58694
7,959.6093,25.335356,11.275596,475.2224,-0.38519767,-3.470869,3.5541358,121.36116
8,955.2212,24.921938,11.1952305,515.42664,-0.29592896,-3.502171,3.5847855,163.01862
9,950.69525,24.502043,11.110965,556.98584,-0.21465,-3.5229337,3.606788,161.6551
10,946.029,24.07442,11.02305,599.952,-0.14271459,-3.53691,3.6229415,203.65875
11,941.235,23.638866,10.931697,644.3806,-0.078380145,-3.5472884,3.6354947,202.57855
12,936.2835,23.191631,10.836679,690.3286,-0.018609943,-3.5565133,3.6464498,201.56165
13,931.18854,22.732841,10.738442,737.8552,0.03992777,-3.5666816,3.6575024,200.56747
14,925.93646,22.260483,10.63674,787.0228,0.100221865,-3.5787208,3.6693711,213.96391
15,920.51654,21.772987,10.531134,837.8975,0.16483122,-3.5926952,3.6820464,241.71931
16,914.9416,21.271124,10.421366,890.54846,0.23687409,-3.6084893,3.695948,240.59349
17,909.1997,20.753618,10.306183,945.0465,0.3197177,-3.6261194,3.7120652,253.73953
18,903.2807,20.219433,10.183513,1001.4682,0.41551778,-3.6469867,3.7330735,266.7303
19,897.1753,19.668152,10.049816,1059.8934,0.52545667,-3.6744385,3.7637954,279.5525
20,890.8868,19.10095,9.900322,1120.4059,0.6484306,-3.7119217,3.8091705,292.2193
21,884.40466,18.518263,9.728447,1183.0944,0.7787056,-3.7596242,3.8704736,319.2144
22,877.7282,17.922361,9.523742,1248.052,0.90294886,-3.8115475,3.9411948,331.93024
23,870.83795,17.315462,9.268913,1315.3772,0.9987305,-3.8472662,3.997386,345.0279
24,863.74854,16.706776,8.937057,1385.1737,1.0314848,-3.8234148,3.9880767,344.44144
25,856.4264,16.10883,8.48785,1457.5537,0.9477801,-3.67927,3.8409052,302.0459
26,848.89813,15.539065,7.885998,1532.6366,0.711776,-3.358081,3.4967756,276.40366
27,841.12964,14.994024,7.1284695,1610.5508,0.39142814,-2.8623025,2.9849305,224.74457
28,833.1303,14.458427,6.299628,1691.4357,0.13399282,-2.2904284,2.4423428,189.54402
29,824.88086,13.8962,5.564285,1775.4393,-0.09362091,-1.6951495,1.9436215,187.08101
30,816.37646,13.422102,4.7385364,1862.7344,-0.4754952,-0.81704366,1.3636874,153.81325
31,807.6178,13.108971,3.4623318,1953.5156,-0.97045016,0.51779306,1.1464871,110.34479
32,798.5825,12.726619,2.299259,2047.9762,-1.2947026,1.9951612,2.3850372,146.64655
33,789.2749,12.128899,1.5714482,2146.2915,-1.4498214,3.4000266,3.6987522,156.8181
34,779.6677,11.308311,1.2050307,2248.6255,-1.6024709,4.4963775,4.7744875,160.34753
35,769.7674,10.426034,0.9189737,2355.1687,-1.8315195,5.3497267,5.655856,161.06963
36,759.558,9.584604,0.5110064,2466.1582,-2.0639682,5.9547167,6.303561,160.87411
37,749.01984,8.775937,-0.2082357,2581.8582,-2.410552,6.049665,6.512683,158.27293
38,738.15814,8.014121,-1.128086,2702.5537,-3.158739,5.6019444,6.43474,150.56921
39,726.95087,7.1768446,-1.91124,2828.5476,-4.0571227,5.1361513,6.547149,141.69821
40,715.394,6.1993556,-2.5708866,2960.1392,-4.3907228,5.232308,6.830516,140.00018
41,703.46606,5.025742,-3.022254,3097.625,-4.262877,5.7506084,7.1583557,143.45026
42,691.1598,3.7504969,-3.4027424,3241.3335,-4.137722,6.4691396,7.6792493,147.39629
43,678.4581,2.5261,-3.8706384,3391.6794,-4.080469,7.4286942,8.475602,151.22093
44,665.3427,1.2934314,-4.3697886,3549.143,-3.891135,8.643752,9.479354,155.76418
45,651.8074,-0.055161133,-4.963055,3714.202,-3.8004365,9.575926,10.302578,158.35344
46,637.83093,-1.3748803,-6.0225286,3887.3818,-4.116167,9.863291,10.687799,157.3484
47,623.4031,-2.5741675,-7.6849647,4069.3274,-4.3471913,9.370208,10.329558,155.11154
48,608.50464,-3.8017347,-9.104513,4260.774,-3.8863766,8.046326,8.935766,154.2185
49,593.1189,-5.1540284,-9.915409,4462.506,-2.7877703,6.321626,6.9090443,156.20245
50,577.2237,-6.682467,-10.319752,4675.3545,-1.3600051,4.6757407,4.869539,163.78197
51,560.7931,-8.357392,-10.219163,4900.2427,0.71103895,4.0799265,4.1419683,189.88867
52,543.81,-9.477372,-10.882102,5138.498,3.6704211,4.2991543,5.6529636,220.48949
53,526.2595,-10.347708,-13.878445,5391.7007,5.5564113,5.0632863,7.5173583,227.65862
54,508.1297,-11.4091835,-23.451431,5661.168,6.4840393,6.000883,8.834785,227.21617
55,489.39297,-13.225038,-29.121876,5948.209,7.453572,6.763395,10.064788,227.77959
56,470.01266,-15.4534855,-28.990128,6254.5073,8.3460245,6.258978,10.432313,233.13237
57,449.95676,-17.858381,-29.655918,6582.1436,8.81956,5.303183,10.291213,238.9817
58,429.1998,-20.375237,-34.1823,6933.589,9.4767885,5.9110637,11.169212,238.0464
59,407.7164,-23.06162,-43.444386,7311.7974,10.186241,8.514393,13.276102,230.10869
60,385.4722,-26.239752,-49.40569,7720.175,11.185664,10.17998,15.124538,227.69484
61,362.43765,-29.904053,-51.53229,8162.5483,13.408496,10.642815,17.118992,231.55937
62,338.66174,-33.636772,-51.033127,8642.424,17.406784,9.367417,19.767357,241.71297
63,314.27524,-37.388607,-48.3405,9162.91,23.344664,5.4481416,23.971994,256.86343
64,289.606,-40.76199,-49.106808,9723.737,29.861666,0.7542044,29.871197,268.5531
65,265.9114,-44.37219,-48.2978,10299.874,34.880608,-2.386549,34.96217,273.91418
66,244.114,-49.085594,-52.18532,10866.745,36.990894,-2.8621075,37.101463,274.42435
67,224.08069,-53.584282,-56.555733,11422.744,41.418,0.15838629,41.4183,269.78088
68,205.68965,-58.098164,-58.951927,11967.55,46.657852,2.3054898,46.714775,267.17117
