,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.87964,28.431366,12.038609,228.04037,-0.15195559,-1.8155365,1.8218845,4.7843537
1,884.39734,18.520844,9.520491,1183.357,0.8167815,-3.4862227,3.5806258,346.8141
2,789.2495,12.238373,1.439242,2146.8652,-1.5685279,3.8942833,4.1983,158.06155
3,691.1012,3.759735,-3.4219763,3242.0403,-4.1661396,6.509381,7.7284384,147.37991
4,608.456,-3.8433533,-9.049751,4261.313,-3.8860931,8.1366,9.016982,154.47055
5,543.7838,-9.478424,-10.864292,5138.896,3.6343153,4.3354583,5.657247,219.97234
6,489.37112,-13.226959,-29.091698,5948.505,7.4737334,6.7819157,10.092129,227.77835
7,429.18655,-20.38095,-34.154636,6933.786,9.512483,5.8779483,11.182021,238.28728
8,385.4622,-26.242645,-49.383633,7720.288,11.208709,10.169705,15.134665,227.78242
9,338.65793,-33.635544,-50.992817,8642.471,17.437544,9.357174,19.789509,241.78151
10,289.605,-40.7603,-49.014324,9723.741,29.88006,0.74226564,29.889278,268.57697
11,265.91135,-44.368546,-48.30655,10299.869,34.863277,-2.395809,34.9455,273.93118
12,224.08055,-53.58493,-56.567528,11422.733,41.41172,0.16459799,41.41205,269.77228
13,205.68958,-58.099014,-58.951275,11967.537,46.652275,2.3137412,46.709614,267.1607
14,188.80928,-61.57779,-63.72858,12502.283,42.163,4.693657,42.423447,263.6479
15,159.08806,-61.12845,-75.55728,13562.771,24.760382,4.151787,25.106052,260.48126
16,146.03027,-62.873093,-78.59292,14092.01,27.016937,1.8482683,27.080086,266.0864
17,123.04211,-62.98488,-80.44786,15142.413,19.260372,11.714706,22.54321,238.69084
18,112.94196,-61.4812,-80.44786,15671.023,13.095745,11.515403,17.43855,228.67406
19,103.67063,-61.774094,-80.44786,16201.143,8.692516,7.77943,11.665306,228.17282
