,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.9269,28.304907,11.942724,227.77203,-0.6984282,-2.5301688,2.6664636,15.963044
1,884.40466,18.518263,9.728447,1183.0944,0.7787056,-3.7596242,3.8704736,319.2144
2,789.2749,12.128899,1.5714482,2146.2915,-1.4498214,3.4000266,3.6987522,156.8181
3,691.1598,3.7504969,-3.4027424,3241.3335,-4.137722,6.4691396,7.6792493,147.39629
4,608.50464,-3.8017347,-9.104513,4260.774,-3.8863766,8.046326,8.935766,154.2185
5,543.81,-9.477372,-10.882102,5138.498,3.6704211,4.2991543,5.6529636,220.48949
6,489.39297,-13.225038,-29.121876,5948.209,7.453572,6.763395,10.064788,227.77959
7,429.1998,-20.375237,-34.1823,6933.589,9.4767885,5.9110637,11.169212,238.0464
8,385.4722,-26.239752,-49.40569,7720.175,11.185664,10.17998,15.124538,227.69484
9,338.66174,-33.636772,-51.033127,8642.424,17.406784,9.367417,19.767357,241.71297
10,289.606,-40.76199,-49.106808,9723.737,29.861666,0.7542044,29.871197,268.5531
11,265.9114,-44.37219,-48.2978,10299.874,34.880608,-2.386549,34.96217,273.91418
12,224.08069,-53.584282,-56.555733,11422.744,41.418,0.15838629,41.4183,269.78088
13,205.68965,-58.098164,-58.951927,11967.55,46.657852,2.3054898,46.714775,267.17117
14,188.80899,-61.575493,-63.735207,12502.3,42.15626,4.689991,42.416348,263.6518
15,159.08777,-61.13056,-75.556595,13562.8,24.74802,4.167642,25.096508,260.4409
16,146.03015,-62.872246,-78.5936,14092.035,27.012896,1.839861,27.07549,266.10355
17,123.04174,-62.994286,-80.44786,15142.42,19.270502,11.71844,22.5538,238.6961
18,112.94174,-61.48363,-80.44786,15671.018,13.106053,11.527912,17.454575,228.66576
19,103.67035,-61.76967,-80.44786,16201.14,8.691794,7.783569,11.667542,228.15533
