,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,987.08307,28.306093,12.1107855,226.1601,-0.91660637,-2.668539,3.161308,106.09418
1,884.5362,18.492874,10.111511,1181.8594,-0.6118443,-4.038347,4.2103224,117.179
2,789.361,12.159398,1.5312989,2145.2607,-1.8197196,3.6677184,4.1165705,153.53027
3,691.2326,3.7577384,-3.3993812,3240.5122,-4.2549314,6.3321533,7.6302767,146.10814
4,608.5583,-3.862304,-9.076867,4260.0596,-3.8219273,8.263351,9.104703,155.1753
5,543.84937,-9.442086,-11.059704,5137.908,3.5763617,4.2789426,5.5779743,219.88083
6,489.4206,-13.232294,-29.027971,5947.78,7.4739776,6.650749,10.004991,228.33675
7,429.21442,-20.381655,-34.336643,6933.3574,9.488012,5.9336734,11.191439,237.98026
8,385.47812,-26.284115,-49.536957,7719.9834,10.958112,10.195716,14.968143,227.06102
9,338.66257,-33.691105,-51.761158,8642.189,16.811062,9.71721,19.421558,239.95648
10,289.60455,-40.855366,-51.016773,9723.328,29.507687,0.9883092,29.524704,268.07977
11,265.90958,-44.42618,-48.618465,10299.29,35.208477,-2.33611,35.285927,273.79626
12,224.07947,-53.58765,-56.59642,11422.088,41.85699,0.16016841,41.85731,269.78104
13,205.68835,-58.065956,-58.887123,11966.932,46.87516,2.1927297,46.926506,267.32135
14,188.80782,-61.50693,-63.803326,12501.8125,42.006443,4.5208707,42.249207,263.85782
15,159.08649,-61.12164,-75.552185,13562.414,24.626564,4.433102,25.023132,259.79465
16,146.02878,-62.671474,-78.55983,14091.92,26.645056,1.7580801,26.703163,266.22183
17,123.04087,-63.137188,-80.44785,15142.246,19.400936,11.750283,22.681896,238.7983
18,112.941154,-61.54206,-80.44785,15670.597,13.216371,11.86284,17.759848,228.0934
19,103.67,-61.667046,-80.44785,16200.774,8.617759,7.9763875,11.743549,227.2183
