,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s]
0,981.6954,32.429047,9.981631,228.21309,-1.6045625,-2.4445324
1,978.1577,31.891144,9.780072,260.5995,-1.5346248,-2.6425571
2,974.50726,31.478485,9.674561,294.03082,-1.4003668,-2.6368785
3,970.7457,31.08725,9.590087,328.5546,-1.2523034,-2.5866265
4,966.9136,30.70456,9.516302,364.2134,-1.1006174,-2.5179522
5,962.8425,30.310028,9.447215,401.0516,-0.952121,-2.441267
6,958.77185,29.92154,9.38396,439.11206,-0.81591904,-2.3646464
7,954.5793,29.526184,9.32246,478.44055,-0.7028513,-2.2965946
8,950.15485,29.112518,9.259605,519.0867,-0.61577743,-2.2379713
9,945.705,28.698029,9.197926,561.09985,-0.5598379,-2.19061
10,941.1144,28.271515,9.135654,604.53107,-0.532019,-2.1537757
11,936.32196,27.8266,9.072389,649.43616,-0.5241646,-2.1243515
12,931.42334,27.371552,9.0097475,695.87225,-0.52715987,-2.0977244
13,926.37103,26.901672,8.946073,743.898,-0.53283215,-2.0714164
14,921.1653,26.416626,8.880678,793.5756,-0.5368728,-2.040383
15,915.8054,25.915863,8.813655,844.9713,-0.5353893,-2.0031025
16,910.30084,25.400085,8.744477,898.15356,-0.52756524,-1.9548106
17,904.5806,24.862396,8.670144,953.19403,-0.50692886,-1.8934218
18,898.7106,24.308502,8.591052,1010.1699,-0.4703713,-1.8148122
19,892.68164,23.737274,8.506235,1069.1603,-0.41455674,-1.7188492
20,886.4077,23.140625,8.413219,1130.2485,-0.34103048,-1.6104769
21,880.02045,22.531158,8.313434,1193.5232,-0.2523679,-1.4941003
22,873.3819,21.895172,8.20424,1259.078,-0.15558937,-1.3761346
23,866.5583,21.238495,8.086819,1327.0109,-0.053239346,-1.264052
24,859.52844,20.559296,7.9610453,1397.4253,0.048049897,-1.1651633
25,852.3014,19.858246,7.825958,1470.4319,0.14076954,-1.0919586
26,844.8205,19.131805,7.6756663,1546.1466,0.21464211,-1.0571465
27,837.10266,18.38208,7.505883,1624.6941,0.26265272,-1.0655265
28,829.18024,17.613861,7.314061,1706.2065,0.27596653,-1.102447
29,821.0045,16.822296,7.0951853,1790.8229,0.24647945,-1.1150517
30,812.5773,16.008118,6.8405523,1878.6921,0.15030468,-1.0402489
31,803.87756,15.168488,6.531794,1969.9734,-0.034687363,-0.8645561
32,794.9087,14.306732,6.1368704,2064.833,-0.29862148,-0.63741297
33,785.694,13.435547,5.61462,2163.4487,-0.5846759,-0.43342328
34,776.1477,12.538452,4.9942346,2266.0134,-0.823614,-0.30627126
35,766.3379,11.607819,4.3648987,2372.7341,-0.976051,-0.25818843
36,756.18134,10.633026,3.8071353,2483.8394,-1.0312222,-0.25208604
37,745.7495,9.634735,3.3263443,2599.58,-0.99235845,-0.22458138
38,734.95703,8.607605,2.8302047,2720.227,-0.88374174,-0.077099204
39,723.8384,7.5765686,2.1588616,2846.0693,-0.76294565,0.2862115
40,712.37494,6.5593567,1.2497964,2977.4204,-0.66631484,0.827979
41,700.56464,5.5328674,0.30384922,3114.629,-0.539423,1.4220235
42,688.3275,4.423584,-0.40418735,3258.078,-0.27022263,1.9781823
43,675.7379,3.2129822,-0.9347784,3408.1726,0.18870336,2.4919195
44,662.7308,1.900116,-1.4560893,3565.3381,0.71241605,2.9068847
45,649.3057,0.49609375,-2.0424294,3730.0337,1.1391239,3.0664184
46,635.44617,-0.9916992,-2.684722,3902.7688,1.6730478,2.9706926
47,621.1336,-2.5332336,-3.4276369,4084.1216,3.188737,3.216926
48,606.3487,-3.597168,-5.097553,4274.892,5.9864736,4.1767473
49,591.09686,-4.932312,-6.447306,4475.922,6.9368305,4.560437
50,575.33997,-6.15744,-8.575803,4688.0444,6.203664,4.4503818
51,559.06525,-7.4469604,-11.476825,4912.2383,6.13011,5.090335
52,542.24866,-9.153564,-14.611667,5149.4272,8.350932,7.2858496
53,524.865,-10.574188,-19.630556,5400.836,8.668259,8.568483
54,506.90442,-12.068451,-22.92211,5668.104,9.776388,8.684564
55,488.31604,-13.751526,-25.701971,5952.9497,10.817228,8.129301
56,469.08362,-15.732971,-28.331177,6257.1724,10.91636,8.017908
57,449.1807,-17.89772,-30.491613,6582.877,10.609756,8.460308
58,428.56805,-20.125137,-32.421078,6932.7104,10.771479,9.147988
59,407.21957,-22.643906,-35.313316,7309.735,11.414772,9.541249
60,385.09534,-25.683792,-38.73762,7717.2803,12.453415,9.260794
61,362.17288,-29.122849,-41.85127,8159.2534,13.866568,8.949332
62,338.49432,-33.001373,-45.439575,8638.96,15.877766,8.9515915
63,314.1908,-37.606873,-49.19221,9158.379,18.121635,9.648727
64,289.5839,-42.638138,-53.993034,9715.331,20.959332,10.312372
65,265.92783,-47.556,-58.184235,10284.199,22.593475,10.392439
66,244.14288,-51.732437,-61.427357,10843.273,23.528023,8.999624
67,224.1079,-54.449326,-63.958923,11394.687,23.800446,6.9557095
68,205.70938,-55.769012,-66.94921,11941.227,22.927608,5.059496
69,188.81876,-57.31891,-70.14248,12484.164,21.9141,2.1731546
70,173.31487,-59.567337,-73.06885,13022.34,21.038792,3.048011
71,159.08543,-60.80252,-76.19923,13556.147,20.050735,4.945155
72,146.02867,-61.936844,-78.63423,14086.974,20.037525,6.519263
73,134.04341,-62.45656,-80.44786,14615.709,18.799633,8.272412
74,123.043106,-62.35344,-80.44786,15143.9,15.664459,9.492067
75,112.94315,-62.279724,-80.44786,15672.298,10.803188,8.608343
76,103.67241,-63.48645,-80.44786,16199.264,7.7165985,6.889486
77,95.16153,-64.745544,-80.44786,16723.13,6.6068344,6.068004
78,87.35251,-66.21089,-80.44786,17243.57,7.37131,5.3985434
79,80.187874,-66.24948,-80.44786,17762.088,7.335643,8.713829
80,73.61076,-64.75227,-80.44786,18282.387,4.670678,11.288653
81,67.56756,-62.89322,-80.44786,18806.863,-0.029567998,8.838325
82,62.0133,-63.193344,-80.44786,19333.322,-2.303029,4.944889
83,56.91324,-63.250687,-80.44786,19859.4,-5.3217745,5.873346
