,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s]
0,981.6954,32.429047,9.981631,228.21309,-1.6045625,-2.4445324
1,886.4077,23.140625,8.413219,1130.2485,-0.34103048,-1.6104769
2,785.694,13.435547,5.61462,2163.4487,-0.5846759,-0.43342328
3,700.56464,5.5328674,0.30384922,3114.629,-0.539423,1.4220235
4,621.1336,-2.5332336,-3.4276369,4084.1216,3.188737,3.216926
5,542.24866,-9.153564,-14.611667,5149.4272,8.350932,7.2858496
6,488.31604,-13.751526,-25.701971,5952.9497,10.817228,8.129301
7,428.56805,-20.125137,-32.421078,6932.7104,10.771479,9.147988
8,385.09534,-25.683792,-38.73762,7717.2803,12.453415,9.260794
9,338.49432,-33.001373,-45.439575,8638.96,15.877766,8.9515915
10,289.5839,-42.638138,-53.993034,9715.331,20.959332,10.312372
11,265.92783,-47.556,-58.184235,10284.199,22.593475,10.392439
12,224.1079,-54.449326,-63.958923,11394.687,23.800446,6.9557095
13,205.70938,-55.769012,-66.94921,11941.227,22.927608,5.059496
14,188.81876,-57.31891,-70.14248,12484.164,21.9141,2.1731546
15,159.08543,-60.80252,-76.19923,13556.147,20.050735,4.945155
16,146.02867,-61.936844,-78.63423,14086.974,20.037525,6.519263
17,123.043106,-62.35344,-80.44786,15143.9,15.664459,9.492067
18,112.94315,-62.279724,-80.44786,15672.298,10.803188,8.608343
19,103.67241,-63.48645,-80.44786,16199.264,7.7165985,6.889486
