,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.34717,31.26944,16.409443,230.00912,1.3781664,-5.477885,5.6485896,345.8782
1,980.78595,30.666687,16.314245,262.478,1.7167515,-6.602117,6.82167,345.42416
2,977.1625,30.266846,16.234903,295.9934,1.8620592,-7.0622516,7.303606,345.22934
3,973.3415,29.898346,16.157072,330.60776,1.9557359,-7.3236494,7.5802865,345.0484
4,969.44977,29.53305,16.079863,366.36533,2.0184453,-7.50257,7.7693424,344.94205
5,965.4018,29.157623,16.000725,403.3093,2.0724661,-7.6329055,7.909258,344.80942
6,961.3088,28.78009,15.920843,441.482,2.1178153,-7.7296076,8.014485,344.6777
7,957.08936,28.39212,15.838502,480.92883,2.1566615,-7.8087435,8.10109,344.5606
8,952.67163,27.986511,15.752181,521.6997,2.1904802,-7.873344,8.172378,344.45264
9,948.15283,27.571533,15.663141,563.8439,2.2215543,-7.921343,8.226967,344.33377
10,943.50037,27.144012,15.570469,607.4127,2.2528348,-7.964333,8.276827,344.20563
11,938.73474,26.705475,15.474102,652.4618,2.2799654,-7.9995503,8.318115,344.09183
12,933.7639,26.247437,15.372049,699.0482,2.3126411,-8.031469,8.3578,343.93637
13,928.674,25.777618,15.26519,747.2316,2.3430374,-8.056602,8.39039,343.7844
14,923.42896,25.292847,15.152242,797.0735,2.3758483,-8.078537,8.420654,343.61172
15,918.02765,24.792877,15.032263,848.6403,2.411755,-8.103521,8.454799,343.42603
16,912.4336,24.274597,14.903392,902.00214,2.4503663,-8.122972,8.484513,343.2136
17,906.72046,23.745422,14.765445,957.22974,2.4947054,-8.145731,8.519183,342.97232
18,900.7644,23.194183,14.614276,1014.39984,2.5489511,-8.17206,8.560357,342.67676
19,894.71814,22.636627,14.449138,1073.5934,2.6133657,-8.203702,8.609901,342.33023
20,888.41943,22.059387,14.2623825,1134.8936,2.6929889,-8.248707,8.677175,341.9195
21,881.9716,21.475311,14.048718,1198.39,2.7910063,-8.306805,8.763145,341.42816
22,875.3052,20.884186,13.793398,1264.1777,2.9212537,-8.389215,8.88328,340.8011
23,868.43524,20.300415,13.470717,1332.3567,3.109907,-8.512212,9.06252,339.9304
24,861.34,19.749512,13.027066,1403.0352,3.4075608,-8.710548,9.353349,338.63458
25,854.0619,19.293274,12.28507,1476.3297,3.9461226,-9.071587,9.892703,336.49106
26,846.5491,18.805756,11.163664,1552.3461,4.4224224,-9.186042,10.195155,334.2925
27,838.8113,18.450684,9.627471,1631.2012,4.585027,-8.318247,9.498195,331.13638
28,830.84,18.284729,7.93456,1713.0646,4.62806,-7.501927,8.814638,328.3289
29,822.6268,17.689362,7.2715344,1798.0925,4.6074834,-7.000786,8.380925,326.64957
30,814.14966,17.03955,6.7461667,1886.4246,4.6097794,-6.50699,7.9743958,324.6849
