,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.48346,31.684595,16.4453,228.4319,3.069299,-4.500163,5.5655165,325.89047
1,980.9283,31.114164,16.36009,260.9491,3.5982425,-5.450243,6.6182265,326.88617
2,977.253,30.676498,16.285437,294.51523,3.79341,-5.9580717,7.127821,327.80515
3,973.47076,30.273012,16.211445,329.17844,3.869749,-6.335625,7.472003,328.8332
4,969.5812,29.878796,16.135094,364.98227,3.8786,-6.6646633,7.7476845,330.0041
5,965.5603,29.482477,16.054695,401.9708,3.8352814,-6.9740295,7.988358,331.34442
6,961.43115,29.082155,15.969749,440.1872,3.7451077,-7.2739353,8.2067375,332.86185
7,957.177,28.673512,15.879217,479.6773,3.608689,-7.5668883,8.407192,334.56628
8,952.7849,28.25312,15.782217,520.49005,3.425795,-7.848651,8.587722,336.4493
9,948.267,27.82026,15.679904,562.6746,3.2071238,-8.101444,8.738243,338.40878
10,943.6118,27.374031,15.574004,606.2823,2.9711754,-8.302823,8.84459,340.29886
11,938.8195,26.914118,15.464309,651.368,2.7313795,-8.445042,8.902356,342.05017
12,933.87646,26.439415,15.349545,697.98865,2.4984865,-8.525975,8.910715,343.62097
13,928.784,25.950567,15.228949,746.20337,2.2816725,-8.55164,8.875801,344.99304
14,923.5398,25.448051,15.101375,796.0742,2.0894341,-8.534538,8.809815,346.15414
15,918.1353,24.931631,14.964764,847.6676,1.929429,-8.493638,8.731104,347.0947
16,912.57153,24.401814,14.816885,901.0525,1.8111404,-8.448147,8.658778,347.78375
17,906.829,23.857437,14.655422,956.3005,1.7423887,-8.415037,8.609612,348.18835
18,900.9249,23.301119,14.479178,1013.488,1.7299204,-8.404287,8.593808,348.26944
19,894.8278,22.73127,14.2863455,1072.6957,1.7730682,-8.416313,8.611774,348.0241
20,888.555,22.151148,14.074751,1134.0076,1.8658191,-8.4404125,8.65291,347.47784
21,882.0851,21.559658,13.8404455,1197.5142,1.9946953,-8.456621,8.696458,346.6982
22,875.4217,20.958105,13.582412,1263.3098,2.144269,-8.43954,8.715935,345.76007
23,868.54474,20.34483,13.30627,1331.4946,2.296753,-8.365744,8.686047,344.7469
24,861.47156,19.72319,13.007404,1402.1753,2.4428506,-8.22945,8.599473,343.68344
25,854.1795,19.096804,12.64685,1475.4641,2.6043024,-8.066791,8.494901,342.4132
26,846.6648,18.49206,12.117064,1551.4777,2.8253675,-7.956017,8.458917,340.73218
27,838.9148,17.957405,11.263727,1630.34,3.1525848,-7.949214,8.56079,338.51978
28,830.9394,17.50832,10.067484,1712.1869,3.6168485,-7.9421973,8.73059,335.55283
29,822.71606,17.061407,8.813468,1797.1669,4.0483203,-7.707783,8.708096,332.29105
30,814.24774,16.550327,7.6586823,1885.4381,4.347036,-7.3579736,8.54709,329.41434
31,805.5165,15.975001,6.7253065,1977.1702,4.478906,-6.9312367,8.253397,327.12106
32,796.5201,15.316665,6.1262593,2072.547,4.598401,-6.4107137,7.891614,324.3412
33,787.24506,14.549935,5.8537416,2171.764,4.8652554,-5.8545322,7.615244,320.26532
34,777.678,13.684954,5.8810883,2275.0244,5.231048,-5.3681736,7.4972925,315.73703
35,767.80725,12.690083,6.205911,2382.5413,5.5531597,-5.046699,7.5043464,312.26785
36,757.6286,11.668722,6.1522503,2494.5276,5.736134,-5.026154,7.626737,311.22714
37,747.12897,10.752359,5.5218654,2611.2166,5.6365595,-4.9402943,7.4953613,311.2284
38,736.2993,9.897869,4.326164,2732.8708,5.3907847,-4.210104,6.8410716,307.963
39,725.1305,9.000706,2.800643,2859.7598,5.4526134,-3.034931,6.2410717,299.08444
40,713.61646,7.909197,1.8481472,2992.1787,5.7710466,-1.990296,6.1048293,289.02563
41,701.7371,6.6747227,1.2005543,3130.4534,6.0373573,-1.1447525,6.145055,280.7358
42,689.4807,5.356427,0.5661652,3274.933,6.172573,-0.59574556,6.2013245,275.5121
43,676.8284,4.060414,-0.4602193,3426.01,5.8955617,-0.5758568,5.923673,275.58038
44,663.7774,2.9654346,-2.590432,3584.1475,5.2343493,-1.0635372,5.3413587,281.4884
45,650.31067,2.1843505,-5.7486677,3749.9333,4.7996583,-1.9580383,5.1837835,292.19363
46,636.4192,1.6723511,-8.950442,3924.1226,4.89778,-3.3953712,5.959943,304.7319
47,622.07996,0.82522583,-10.688591,4107.4424,5.4533997,-4.782126,7.2533803,311.24908
48,607.2714,-0.42715698,-11.836747,4300.475,6.4911547,-5.4183106,8.455445,309.85336
49,591.97485,-1.8592762,-13.056592,4503.853,7.7122374,-5.33617,9.378356,304.67987
