,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,985.85724,31.67774,16.384712,216.29195,1.8187838,-5.2166333,5.6815596,304.04263
1,982.2924,31.084028,16.299812,248.8053,2.1716607,-6.2990212,6.8180313,311.6984
2,978.61774,30.639505,16.22845,282.36676,2.2975662,-6.745579,7.2705607,320.54205
3,974.8303,30.229803,16.15944,317.02524,2.358064,-7.013911,7.5309844,325.37924
4,970.9308,29.829456,16.09035,352.82468,2.3865097,-7.200013,7.7025733,327.93658
5,966.9135,29.42952,16.020428,389.80927,2.3958654,-7.337801,7.822515,329.93164
6,962.77234,29.025698,15.949333,428.02264,2.3931065,-7.442952,7.9085264,333.6568
7,958.50854,28.615828,15.876961,467.51135,2.3834531,-7.524207,7.9709225,337.36887
8,954.1145,28.197721,15.803074,508.32486,2.3706162,-7.587079,8.016251,338.17557
9,949.5873,27.77076,15.727325,550.51294,2.358705,-7.6324515,8.047009,338.9319
10,944.92303,27.334005,15.649406,594.1281,2.3505504,-7.661324,8.064931,340.77454
11,940.11865,26.886137,15.568797,639.2264,2.3476675,-7.6758485,8.072393,343.12106
12,935.1685,26.425747,15.484928,685.8651,2.3511775,-7.677822,8.071425,343.08496
13,930.0659,25.95159,15.39717,734.1042,2.3620653,-7.6691327,8.064179,342.9645
14,924.813,25.463303,15.304918,784.0064,2.3811207,-7.6521935,8.053246,342.75735
15,919.3976,24.9593,15.207183,835.6383,2.409157,-7.630063,8.041818,342.46497
16,913.81866,24.439169,15.102896,889.0697,2.4469016,-7.6060095,8.03328,342.09354
17,908.0676,23.90199,14.990411,944.3721,2.4954524,-7.583704,8.031528,341.65216
18,902.1453,23.347984,14.8676,1001.6224,2.5565534,-7.5664306,8.040149,341.14816
19,896.0401,22.77665,14.731403,1060.9012,2.633579,-7.5569124,8.062541,340.57657
20,889.74884,22.18887,14.577839,1122.2924,2.7316988,-7.5565953,8.1012945,339.91324
21,883.2656,21.586111,14.4014,1185.8856,2.8579192,-7.566979,8.160051,339.11954
22,876.58545,20.971354,14.193489,1251.7747,3.0187824,-7.5929203,8.246462,338.17188
23,869.6994,20.349981,13.933417,1320.059,3.2142181,-7.644595,8.371143,336.53326
24,862.60266,19.734102,13.578867,1390.8429,3.4333532,-7.7275343,8.533875,334.87094
25,855.2903,19.14722,13.05688,1464.2385,3.6702688,-7.830805,8.71776,334.3208
26,847.7547,18.626371,12.23572,1540.3629,3.953361,-7.9209924,8.905513,333.47348
27,839.9903,18.224138,10.921315,1619.3406,4.280191,-7.937942,9.05277,331.65384
28,831.99603,17.899761,9.2969475,1701.3105,4.570497,-7.76971,9.037046,329.50882
29,823.75745,17.521097,7.8298016,1786.4244,4.723786,-7.3477135,8.749081,327.19788
30,815.27185,16.999142,6.850839,1874.8478,4.7457705,-6.783532,8.286531,324.96133
31,806.5236,16.355867,6.302964,1966.7524,4.6927667,-6.212584,7.7914705,322.892
32,797.50464,15.617716,6.0322685,2062.3179,4.664728,-5.664206,7.3443584,320.49036
33,788.2049,14.7927,5.9709473,2161.734,4.7670646,-5.160026,7.031872,317.21136
34,778.61334,13.860907,6.1089363,2265.1965,4.9877844,-4.7684746,6.9057374,313.64484
35,768.71857,12.830594,6.284336,2372.9075,5.2417226,-4.574891,6.9622564,311.0442
36,758.5123,11.79919,6.139988,2485.0796,5.398293,-4.618115,7.109414,310.4875
37,747.9853,10.840889,5.5719438,2601.9546,5.287748,-4.631745,7.032634,311.19806
38,737.1284,9.9453125,4.482282,2723.7976,5.0540175,-4.1435885,6.537575,309.3232
39,725.9345,9.070287,2.8856075,2850.8845,5.1346993,-3.0570085,5.982935,300.72803
40,714.3906,8.023121,1.7429979,2983.517,5.5208607,-1.8675433,5.8325663,288.66632
41,702.4819,6.7941976,1.068712,3122.0203,5.8059897,-0.9539784,5.8851514,279.3037
42,690.1939,5.4726353,0.44151333,3266.742,5.8135257,-0.4364786,5.8309984,274.2707
43,677.51373,4.154041,-0.5024555,3418.0745,5.4421377,-0.4507879,5.4627995,274.72098
44,664.43024,2.9892602,-2.3873866,3576.472,4.7865963,-0.9018087,4.873571,280.65186
45,650.9324,2.1334589,-5.436689,3742.505,4.3328867,-1.7904576,4.6893578,292.46136
46,637.00665,1.5805883,-8.725944,3916.9172,4.4320674,-3.2489107,5.4960384,306.2738
47,622.6337,0.7291868,-10.505406,4100.4507,5.117143,-4.6357603,6.9054775,312.19077
48,607.7918,-0.47421056,-11.691374,4293.7227,6.293265,-5.3538303,8.263043,310.39755
49,592.4612,-1.8703172,-12.943303,4497.3833,7.615264,-5.352983,9.3088455,305.1086
50,576.62396,-3.359666,-14.441564,4712.2275,8.647726,-4.934693,9.956897,299.71237
51,560.2597,-4.930132,-16.116777,4939.1978,9.122091,-4.4245677,10.13867,295.87668
52,543.3476,-6.541152,-18.002295,5179.389,8.983656,-4.108886,9.878839,294.58017
53,525.8652,-8.202455,-20.054848,5434.0786,8.39665,-4.2162924,9.395942,296.66626
54,507.7879,-10.000928,-21.96827,5704.6914,7.6810226,-4.765327,9.039413,301.81894
55,489.09055,-11.913511,-23.854965,5992.856,6.997359,-5.5056486,8.903897,308.1989
56,469.74722,-13.92908,-26.040539,6300.475,6.1729,-6.4262276,8.9108715,316.15356
57,449.72964,-16.277712,-27.826235,6629.6562,5.189321,-7.5995483,9.202345,325.6726
58,429.0082,-19.153864,-29.098532,6982.6104,4.3684273,-8.729632,9.761704,333.4162
59,407.55215,-22.429245,-30.5787,7361.9146,4.1616063,-9.296074,10.185201,335.8846
60,385.33185,-25.578396,-34.10467,7771.152,5.727253,-8.244403,10.038826,325.21323
61,362.3228,-27.573606,-42.25195,8216.011,9.261246,-6.486098,11.306786,305.0056
62,338.573,-29.354538,-52.49247,8702.148,13.269211,-4.854256,14.129398,290.0945
63,314.21036,-32.34362,-57.493187,9232.436,16.795897,-5.513785,17.677816,288.1743
64,289.56064,-35.384377,-60.796337,9805.356,21.725338,-5.8878036,22.509045,285.16357
65,265.87872,-38.557472,-63.904045,10395.159,26.281366,-4.0696526,26.594616,278.8022
66,244.08783,-42.20208,-67.0546,10977.762,30.29175,-0.793861,30.302187,271.50113
67,224.05644,-46.35024,-69.57263,11551.418,34.454018,2.6017962,34.552185,265.6815
68,205.665,-50.142185,-72.172386,12115.274,38.975758,4.662831,39.253822,263.17764
69,188.7843,-53.6278,-74.84689,12669.991,40.73471,3.965096,40.927284,264.44025
70,173.2896,-57.1302,-77.51639,13215.929,40.281467,2.5933,40.36491,266.31638
71,159.06671,-60.7091,-80.44785,13752.973,39.37692,2.940715,39.48663,265.72903
72,146.01122,-63.866573,-80.44785,14281.56,37.029808,3.3477356,37.180855,264.83405
73,134.02695,-66.3069,-80.44785,14803.112,32.338436,1.7984455,32.38842,266.81677
74,123.02587,-68.44807,-80.44785,15318.904,27.256485,-1.1400086,27.280373,272.39478
75,112.92739,-70.47891,-80.44785,15829.462,22.9434,-3.5183086,23.211756,278.71786
76,103.657715,-71.61409,-80.44785,16336.038,19.467224,-4.4218373,19.963255,282.79715
77,95.148964,-72.26557,-80.44785,16840.367,15.293264,-4.1080613,15.835453,285.03546
78,87.33813,-72.72387,-80.44785,17343.297,11.439185,-3.1941907,11.87683,285.60028
79,80.16705,-72.84525,-80.44785,17845.496,8.423211,-1.3451854,8.530058,279.0724
80,73.58455,-71.83851,-80.44785,18348.809,7.8079867,-1.8331088,8.020312,283.2101
81,67.54418,-69.38816,-80.44785,18856.45,7.1744757,-2.3492095,7.5493445,288.12946
82,61.999466,-66.564705,-80.44785,19370.693,2.5260773,-3.1386003,4.029726,321.1998
83,56.908573,-65.54316,-80.44785,19889.752,-0.98602796,-5.818927,5.903474,9.62238
84,52.236088,-64.36055,-80.44785,20411.576,-2.878031,-5.127306,5.88029,29.30598
