,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.6834,31.621094,16.489683,226.60449,3.7821019,-4.309467,5.733742,318.72894
1,888.74255,22.136902,14.010849,1132.0756,1.7966311,-8.836134,9.016936,348.50687
2,787.4114,14.499786,5.8516326,2170.0232,4.738275,-6.0861216,7.713114,322.0979
3,689.6018,5.369995,0.583133,3273.4597,6.2106586,-0.5828465,6.2379475,275.3613
4,622.1774,0.83358765,-10.680817,4106.233,5.4763885,-4.787474,7.273977,311.16003
5,543.0202,-6.550659,-18.078686,5183.985,8.888161,-4.1304007,9.801001,294.92468
6,488.85495,-11.94574,-23.954659,5996.508,6.9061165,-5.552046,8.861132,308.7969
7,428.85422,-19.208572,-29.098507,6985.14,4.4137583,-8.757765,9.807125,333.25272
8,385.22675,-25.655045,-33.952065,7772.8604,5.823958,-8.299476,10.139023,324.94165
9,338.51578,-29.429306,-52.60546,8702.92,13.386425,-4.792294,14.218385,289.6972
10,289.5373,-35.418213,-60.801083,9805.419,21.762823,-5.937071,22.55813,285.25943
11,265.8665,-38.57309,-63.89176,10395.023,26.340115,-4.1465206,26.664495,278.94623
12,224.05109,-46.379074,-69.54417,11551.117,34.49092,2.4956596,34.581093,265.86145
13,205.66045,-50.14557,-72.167076,12114.945,39.102306,4.5013804,39.36055,263.43314
14,188.77924,-53.61902,-74.85122,12669.682,40.83865,3.8371062,41.018517,264.6324
15,159.06436,-60.712692,-80.44786,13752.71,39.47622,2.8649156,39.58004,265.84915
16,146.0083,-63.894196,-80.44786,14281.266,37.16667,3.302564,37.313114,264.92215
17,123.025085,-68.47041,-80.44786,15318.45,27.432714,-1.1496595,27.456795,272.39978
18,112.92664,-70.49768,-80.44786,15828.956,23.095194,-3.6086287,23.375418,278.88068
19,103.65734,-71.61856,-80.44786,16335.505,19.61772,-4.542719,20.136812,283.03775
