,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.48346,31.684595,16.4453,228.4319,3.069299,-4.500163,5.5655165,325.89047
1,888.555,22.151148,14.074751,1134.0076,1.8658191,-8.4404125,8.65291,347.47784
2,787.24506,14.549935,5.8537416,2171.764,4.8652554,-5.8545322,7.615244,320.26532
3,689.4807,5.356427,0.5661652,3274.933,6.172573,-0.59574556,6.2013245,275.5121
4,622.07996,0.82522583,-10.688591,4107.4424,5.4533997,-4.782126,7.2533803,311.24908
5,542.9629,-6.5589223,-18.077055,5184.8354,8.9214945,-4.131918,9.831888,294.85117
6,488.81046,-11.93962,-23.97983,5997.123,6.9433928,-5.5701966,8.90157,308.738
7,428.8301,-19.205801,-29.11432,6985.527,4.404805,-8.779908,9.822919,333.3574
8,385.21622,-25.637278,-34.024216,7773.091,5.8385463,-8.283897,10.134692,324.82346
9,338.5107,-29.424034,-52.61876,8703.043,13.366154,-4.77843,14.194633,289.6721
10,289.5376,-35.420055,-60.799557,9805.403,21.758812,-5.92809,22.551899,285.24008
11,265.86694,-38.574203,-63.890213,10394.963,26.341816,-4.145402,26.666,278.94327
12,224.05157,-46.381294,-69.54111,11551.026,34.491943,2.4810805,34.581066,265.88565
13,205.66109,-50.140804,-72.17167,12114.857,39.116196,4.500914,39.37429,263.43613
14,188.78102,-53.614697,-74.85623,12669.602,40.84382,3.8492591,41.024803,264.61615
15,159.06416,-60.71339,-80.44786,13752.638,39.48934,2.8757596,39.59392,265.83487
16,146.0091,-63.897152,-80.44786,14281.187,37.180244,3.301642,37.326553,264.92538
17,123.02441,-68.46881,-80.44786,15318.362,27.442577,-1.16532,27.467312,272.43152
18,112.92637,-70.49017,-80.44786,15828.883,23.095636,-3.6260428,23.37856,278.92267
19,103.65695,-71.6064,-80.44786,16335.461,19.603338,-4.549895,20.124428,283.0669
