,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,985.85724,31.67774,16.384712,216.29195,1.8187838,-5.2166333,5.6815596,304.04263
1,883.2656,21.586111,14.4014,1185.8856,2.8579192,-7.566979,8.160051,339.11954
2,788.2049,14.7927,5.9709473,2161.734,4.7670646,-5.160026,7.031872,317.21136
3,690.1939,5.4726353,0.44151333,3266.742,5.8135257,-0.4364786,5.8309984,274.2707
4,622.6337,0.7291868,-10.505406,4100.4507,5.117143,-4.6357603,6.9054775,312.19077
5,543.3476,-6.541152,-18.002295,5179.389,8.983656,-4.108886,9.878839,294.58017
6,489.09055,-11.913511,-23.854965,5992.856,6.997359,-5.5056486,8.903897,308.1989
7,429.0082,-19.153864,-29.098532,6982.6104,4.3684273,-8.729632,9.761704,333.4162
8,385.33185,-25.578396,-34.10467,7771.152,5.727253,-8.244403,10.038826,325.21323
9,338.573,-29.354538,-52.49247,8702.148,13.269211,-4.854256,14.129398,290.0945
10,289.56064,-35.384377,-60.796337,9805.356,21.725338,-5.8878036,22.509045,285.16357
11,265.87872,-38.557472,-63.904045,10395.159,26.281366,-4.0696526,26.594616,278.8022
12,224.05644,-46.35024,-69.57263,11551.418,34.454018,2.6017962,34.552185,265.6815
13,205.665,-50.142185,-72.172386,12115.274,38.975758,4.662831,39.253822,263.17764
14,188.7843,-53.6278,-74.84689,12669.991,40.73471,3.965096,40.927284,264.44025
15,159.06671,-60.7091,-80.44785,13752.973,39.37692,2.940715,39.48663,265.72903
16,146.01122,-63.866573,-80.44785,14281.56,37.029808,3.3477356,37.180855,264.83405
17,123.02587,-68.44807,-80.44785,15318.904,27.256485,-1.1400086,27.280373,272.39478
18,112.92739,-70.47891,-80.44785,15829.462,22.9434,-3.5183086,23.211756,278.71786
19,103.657715,-71.61409,-80.44785,16336.038,19.467224,-4.4218373,19.963255,282.79715
