,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s]
0,980.4432,33.020996,10.638576,226.5816,-2.3924866,-3.0254269
1,976.9547,32.540222,10.436884,259.05075,-2.6102166,-3.5865464
2,973.27203,32.148193,10.30932,292.5697,-2.5675507,-3.8455606
3,969.52545,31.780975,10.195331,327.1848,-2.4552464,-4.067569
4,965.66833,31.419067,10.082232,362.93915,-2.299558,-4.2891645
5,961.6942,31.056183,9.964143,399.87628,-2.1141524,-4.5270433
6,957.63654,30.692688,9.836814,438.03864,-1.900221,-4.7873487
7,953.3822,30.31781,9.692325,477.47293,-1.6555858,-5.0734353
8,949.0369,29.940735,9.521335,518.22815,-1.3845699,-5.3873663
9,944.5603,29.553986,9.331177,560.35236,-1.1082008,-5.699651
10,939.981,29.153534,9.138194,603.8971,-0.8486283,-5.985243
11,935.1962,28.725586,8.956947,648.9165,-0.6212102,-6.231777
12,930.3038,28.276855,8.806346,695.4673,-0.44215363,-6.434541
13,925.2561,27.802612,8.695263,743.60834,-0.31903124,-6.602126
14,920.0564,27.301361,8.632877,793.40173,-0.25118023,-6.758768
15,914.6992,26.773193,8.625517,844.9139,-0.23160452,-6.916524
16,909.17914,26.221619,8.657172,898.214,-0.25165036,-7.072242
17,903.49915,25.653748,8.690939,953.37366,-0.29722032,-7.2074413
18,897.6228,25.078064,8.692433,1010.47076,-0.35539585,-7.3091826
19,891.6071,24.502869,8.6622925,1069.5858,-0.41556972,-7.3799067
20,885.3887,23.914429,8.614057,1130.8037,-0.48101136,-7.4193583
21,878.99554,23.31073,8.546848,1194.2145,-0.5583622,-7.408802
22,872.40155,22.680878,8.459668,1259.9109,-0.6497851,-7.2970753
23,865.5379,22.016449,8.34974,1327.9897,-0.73023367,-7.0338326
24,858.5371,21.346954,8.216523,1398.5549,-0.76348054,-6.6562223
25,851.3261,20.644196,8.106976,1471.717,-0.7401086,-6.486148
26,843.8469,19.848297,8.092808,1547.5873,-0.59767634,-6.3624477
27,836.1841,19.153595,8.127648,1626.3032,-1.1128321,-5.4451303
28,828.2682,18.622253,7.8356776,1708.032,0.10424479,-4.413369
29,820.0904,18.167297,7.500774,1792.9468,3.6487155,-3.305185
30,811.7051,17.772766,7.0076118,1881.225,5.6598473,-2.801095
31,803.0493,17.09198,6.4428506,1972.9978,5.790439,-3.1981337
32,794.135,16.311218,6.352432,2068.404,5.8545957,-3.6524534
33,784.92596,15.437775,6.376485,2167.6353,6.043452,-4.1351533
34,775.41516,14.516693,6.2144995,2270.8757,6.278755,-4.5131235
35,765.60956,13.571991,5.8869543,2378.3235,6.5421467,-4.6486626
36,755.51135,12.608124,5.418664,2490.1968,6.7965364,-4.5138807
37,745.09644,11.604767,4.9350414,2606.7373,7.1243305,-4.3848395
38,734.3183,10.525116,4.5246162,2728.208,7.48234,-4.458988
39,723.24274,9.444916,3.9066055,2854.889,7.8037868,-4.541748
40,711.7872,8.576355,2.2763686,2987.0996,8.544241,-3.7094574
41,700.0073,7.8724976,-0.095189944,3125.2134,10.154634,-1.6588873
42,687.8391,6.836151,-1.31394,3269.614,11.997121,0.07757135
43,675.29236,5.6490784,-2.068064,3420.6938,13.123445,1.0243931
44,662.33325,4.3779297,-3.2010245,3578.8706,13.57996,1.4876374
45,648.964,3.1345215,-5.01656,3744.606,13.946252,1.3393722
46,635.16394,2.0113525,-6.184909,3918.5256,13.906349,0.95447934
47,620.8946,0.8471985,-6.7568254,4101.3633,13.465638,0.040404286
48,606.1717,-0.69226074,-7.170997,4293.735,12.795723,-0.8068216
49,590.95667,-2.3666382,-8.0891285,4496.2456,12.8155775,-0.94646275
50,575.2367,-3.7071228,-10.140366,4709.7993,13.477041,-0.98274624
51,558.9857,-4.7171936,-12.085626,4935.651,13.398887,-2.3072197
52,542.17993,-5.966675,-12.623473,5175.1,12.606845,-4.817356
53,524.81,-7.8763733,-13.103247,5429.159,12.194845,-6.697539
54,506.8312,-9.669983,-13.98839,5699.0894,12.109156,-8.056253
55,488.23004,-10.883575,-14.044425,5987.0596,9.727495,-10.293581
56,468.97125,-12.405182,-14.239229,6295.3696,6.5872955,-12.346653
57,449.0432,-14.496704,-16.228878,6625.875,5.393753,-12.4652605
58,428.4061,-16.706024,-18.4192,6980.912,5.7176933,-12.689133
59,407.04056,-19.190475,-22.668186,7363.495,11.196541,-12.333517
60,384.9139,-21.638489,-29.92037,7777.381,12.871332,-9.653344
61,361.9877,-25.406631,-33.19251,8226.363,13.012499,-9.823115
62,338.31534,-29.617203,-38.104366,8713.131,13.461186,-8.98278
63,314.01767,-33.685196,-46.101963,9240.573,17.018291,-9.0394745
64,289.418,-37.35225,-55.012493,9808.637,22.869741,-8.471998
65,265.76804,-40.24768,-53.15653,10393.379,30.3251,-6.4845457
66,243.99443,-43.0558,-58.35613,10972.746,37.78945,-4.610775
67,223.97205,-46.581467,-66.32027,11545.227,43.252163,-3.3255596
68,205.59029,-50.66588,-71.633835,12108.349,45.496086,-2.507668
69,188.72006,-54.49948,-73.60823,12661.512,45.92507,-1.4764293
70,173.23541,-58.058258,-75.11853,13205.375,45.74647,-0.72100395
71,159.02164,-61.367676,-77.702675,13740.594,44.970474,-0.712222
72,145.97368,-64.18228,-80.44786,14268.102,42.740997,-0.39312947
73,133.99736,-66.58382,-80.44786,14789.035,38.868805,-1.1992409
74,123.001976,-68.80379,-80.44786,15304.1455,34.05767,-3.3238926
75,112.90719,-70.84276,-80.44786,15813.895,28.990822,-5.7335024
76,103.64085,-72.32864,-80.44786,16319.205,24.283993,-7.3406315
77,95.13417,-73.27408,-80.44786,16821.453,19.979532,-7.2917976
78,87.3255,-73.397415,-80.44786,17322.352,16.268108,-6.7680974
79,80.156525,-71.89432,-80.44786,17824.967,12.342123,-6.1198997
80,73.576004,-71.47649,-80.44786,18329.986,9.412748,-5.3494887
81,67.54162,-67.82948,-80.44786,18840.072,7.0521507,-3.8567672
82,62.001354,-66.53035,-80.44786,19356.316,2.1279755,-4.875912
83,56.909634,-65.61871,-80.44786,19875.31,1.8061068,-3.374157
84,52.236595,-63.530518,-80.44786,20398.074,0.27891803,-3.6225371
