,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s]
0,980.4432,33.020996,10.638576,226.5816,-2.3924866,-3.0254269
1,885.3887,23.914429,8.614057,1130.8037,-0.48101136,-7.4193583
2,784.92596,15.437775,6.376485,2167.6353,6.043452,-4.1351533
3,700.0073,7.8724976,-0.095189944,3125.2134,10.154634,-1.6588873
4,620.8946,0.8471985,-6.7568254,4101.3633,13.465638,0.040404286
5,542.17993,-5.966675,-12.623473,5175.1,12.606845,-4.817356
6,488.23004,-10.883575,-14.044425,5987.0596,9.727495,-10.293581
7,428.4061,-16.706024,-18.4192,6980.912,5.7176933,-12.689133
8,384.9139,-21.638489,-29.92037,7777.381,12.871332,-9.653344
9,338.31534,-29.617203,-38.104366,8713.131,13.461186,-8.98278
10,289.418,-37.35225,-55.012493,9808.637,22.869741,-8.471998
11,265.76804,-40.24768,-53.15653,10393.379,30.3251,-6.4845457
12,223.97205,-46.581467,-66.32027,11545.227,43.252163,-3.3255596
13,205.59029,-50.66588,-71.633835,12108.349,45.496086,-2.507668
14,188.72006,-54.49948,-73.60823,12661.512,45.92507,-1.4764293
15,159.02164,-61.367676,-77.702675,13740.594,44.970474,-0.712222
16,145.97368,-64.18228,-80.44786,14268.102,42.740997,-0.39312947
17,123.001976,-68.80379,-80.44786,15304.1455,34.05767,-3.3238926
18,112.90719,-70.84276,-80.44786,15813.895,28.990822,-5.7335024
19,103.64085,-72.32864,-80.44786,16319.205,24.283993,-7.3406315
